0,206,location,date
1,197,location,date
2,207,location,date
3,199,location,date
4,208,location,date
5,200,location,date
6,223,location,date
7,202,location,date
8,203,location,date
9,227,location,date
10,209,location,date
11,221,location,date
12,214,location,date
13,213,location,date
14,215,location,date
15,204,location,date
16,212,location,date
17,201,location,date
18,210,location,date
19,211,location,date
20,219,location,date
21,220,location,date
22,205,location,date
23,229,location,date
24,217,location,date
25,225,location,date
26,216,location,date
27,198,location,date
28,218,location,date
29,222,location,date
30,228,location,date
31,226,location,date
32,224,location,date
